
2020-06-16 11:16:18.660433
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
51                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008379220962524414s 
52                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008035898208618164s 
53                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007006645202636719s 
54                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.025696754455566406s 
55                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008490800857543945s 
56                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009378433227539062s 
57                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009089231491088867s 
58                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009689092636108398s 
59                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007981300354003906s 
6                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008630990982055664s 
60                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010998964309692383s 
61                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.011969327926635742s 
62                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008008241653442383s 
63                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010003328323364258s 
64                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008002996444702148s 
65                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009004592895507812s 
66                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00703120231628418s 
67                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009000778198242188s 
68                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008000612258911133s 
69                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009964227676391602s 
7                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.027970075607299805s 
70                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00861811637878418s 
71                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.011039018630981445s 
72                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.011716842651367188s 
73                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009039640426635742s 
74                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009019613265991211s 
75                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009023189544677734s 
76                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010041475296020508s 
77                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007035970687866211s 
78                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.03507256507873535s 
79                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009042024612426758s 
8                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009000778198242188s 
80                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00796961784362793s 
81                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010051965713500977s 
82                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010003328323364258s 
83                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00899958610534668s 
84                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                        0.009002685546875s 
85                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008959293365478516s 
86                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.010001659393310547s 
87                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.00899505615234375s 
88                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.01000356674194336s 
89                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009987831115722656s 
9                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.009963512420654297s 
90                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008005857467651367s 
91                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007998943328857422s 
92                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007962465286254883s 
93                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007964849472045898s 
94                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.007999658584594727s 
95                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                       0.0220029354095459s 
96                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.07199859619140625s 
97                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                      0.02200937271118164s 
98                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.008970499038696289s 
99                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_v2\scaled\arrays                     0.006961345672607422s 
OVERALL TIME: 1.3562545776367188s 
