SAMPLE               ACTION               PATH                                                     TIME
78                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
79                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
8                    CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
80                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
81                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
82                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
83                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
84                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
85                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
86                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
87                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
88                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
89                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
9                    CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
90                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
91                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
92                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
93                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
94                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                    0.0009968280792236328s 
95                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
96                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
97                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
98                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
99                   CREATE               D:\Ansys Simulations\Project\2D\data\arrays                                      0.0s 
OVERALL TIME: 10.209794282913208s 
