
2020-06-16 11:11:52.002448
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
50                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007964611053466797s 
51                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0060307979583740234s 
52                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006002902984619141s 
53                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.045996665954589844s 
54                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                       0.1009986400604248s 
55                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006035804748535156s 
56                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008003950119018555s 
57                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.008011341094970703s 
58                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007998943328857422s 
59                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005997419357299805s 
6                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                       0.0070343017578125s 
60                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005998849868774414s 
61                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.033997297286987305s 
62                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0060045719146728516s 
63                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007998466491699219s 
64                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.08499908447265625s 
65                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.02500295639038086s 
66                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007998466491699219s 
67                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005998373031616211s 
68                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                      0.00799870491027832s 
69                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.005999565124511719s 
7                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007964372634887695s 
70                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006966114044189453s 
71                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007004499435424805s 
72                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.006000518798828125s 
73                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0059969425201416016s 
74                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0070018768310546875s 
75                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007999897003173828s 
76                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                    0.0070040225982666016s 
77                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept_V2\unscaled\arrays                     0.007002592086791992s 
