
2020-06-10 16:53:13.331626
SAMPLE               INPUT                OUTPUT               PATH                                                     TIME
53                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.008974313735961914s 
54                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00894618034362793s 
55                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00994253158569336s 
56                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009943723678588867s 
57                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009974956512451172s 
58                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009940862655639648s 
59                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011938810348510742s 
6                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.13652801513671875s 
60                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009943246841430664s 
61                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009961843490600586s 
62                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997471809387207s 
63                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009941339492797852s 
64                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009997367858886719s 
65                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00996851921081543s 
66                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00894308090209961s 
67                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009973287582397461s 
68                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00894474983215332s 
69                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009969711303710938s 
7                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.008943557739257812s 
70                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.013962984085083008s 
71                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011966705322265625s 
72                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01000213623046875s 
73                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009976625442504883s 
74                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010004997253417969s 
75                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.008974790573120117s 
76                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.01000523567199707s 
77                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009988546371459961s 
78                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010969877243041992s 
79                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997471809387207s 
8                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972810745239258s 
80                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972810745239258s 
81                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972810745239258s 
82                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009973287582397461s 
83                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.029922008514404297s 
84                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972095489501953s 
85                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997304916381836s 
86                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010972976684570312s 
87                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010970354080200195s 
88                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                      0.00997018814086914s 
89                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009974002838134766s 
9                    CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009973526000976562s 
90                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009975194931030273s 
91                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010970592498779297s 
92                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010968208312988281s 
93                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010971307754516602s 
94                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010970830917358398s 
95                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972333908081055s 
96                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972810745239258s 
97                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.010971546173095703s 
98                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.009972810745239258s 
99                   CREATE               CREATE               D:\Ansys Simulations\Project\2D\data\proof_of_concept\scaled\arrays                     0.011966943740844727s 
OVERALL TIME: 1.478076457977295s 
