,node_number,x_loc,y_loc,z_loc,x_disp,y_disp,z_disp
0,1,-0.057525,-0.75005,0.0,-0.00055383,-6.5475e-05,0.0
1,2,0.0,0.0,0.0,0.0013710999999999999,0.00077854,0.0
2,3,-0.053746,-0.7007800000000001,0.0,-0.00033276,-7.704100000000001e-05,0.0
3,4,-0.049967000000000004,-0.65151,0.0,-0.00024705,-9.855399999999999e-05,0.0
4,5,-0.046189,-0.60224,0.0,-0.00028952,4.598e-05,0.0
5,6,-0.04241,-0.55297,0.0,-0.00027544,0.00035393,0.0
6,7,-0.038631,-0.5037,0.0,-6.0478999999999995e-05,0.00072106,0.0
7,8,-0.034852,-0.45443,0.0,0.00034697,0.00097081,0.0
8,9,-0.030974,-0.40386,0.0,0.00078577,0.0010237,0.0
9,10,-0.026541000000000002,-0.34606,0.0,0.0011080999999999999,0.00094335,0.0
10,11,-0.022664,-0.29551,0.0,0.0012361,0.00086521,0.0
11,12,-0.018885,-0.24624000000000001,0.0,0.0012873,0.00081746,0.0
12,13,-0.015106,-0.19697,0.0,0.0013095999999999997,0.00079368,0.0
13,14,-0.011327,-0.1477,0.0,0.0013239,0.00078419,0.0
14,15,-0.007548699999999999,-0.098425,0.0,0.0013380999999999998,0.00078091,0.0
15,16,-0.0037698999999999996,-0.049155000000000004,0.0,0.0013543,0.00077987,0.0
16,17,0.79852,-0.59009,0.0,-0.00095961,-0.0033835000000000002,0.0
17,18,0.7499600000000001,-0.59917,0.0,-0.0010387,-0.0029603000000000003,0.0
18,19,0.7014100000000001,-0.60824,0.0,-0.001118,-0.002537,0.0
19,20,0.65285,-0.61731,0.0,-0.001198,-0.002112,0.0
20,21,0.60429,-0.62638,0.0,-0.0012766,-0.0016803,0.0
21,22,0.55574,-0.63546,0.0,-0.0013413000000000001,-0.0012414000000000001,0.0
22,23,0.50718,-0.64453,0.0,-0.0013802,-0.00080231,0.0
23,24,0.45813000000000004,-0.6537,0.0,-0.0013380999999999998,-0.00039738,0.0
24,25,0.40399999999999997,-0.66381,0.0,-0.001292,-2.1174e-05,0.0
25,26,0.34071,-0.67564,0.0,-0.00057696,-0.00016572,0.0
26,27,0.28343,-0.68634,0.0,-0.0003942,-0.00096109,0.0
27,28,0.23396999999999998,-0.6955899999999999,0.0,-0.0003942,-0.00096109,0.0
28,29,0.18541,-0.7046600000000001,0.0,-0.0003942,-0.00096109,0.0
29,30,0.13685,-0.71373,0.0,-0.0003942,-0.00096109,0.0
30,31,0.0883,-0.7228100000000001,0.0,-0.0003942,-0.00096109,0.0
31,32,0.039744,-0.73188,0.0,-0.0003942,-0.00096109,0.0
32,33,-0.008811399999999999,-0.74095,0.0,-0.00055423,-0.00031044,0.0
33,34,0.03949,-0.029182999999999997,0.0,0.0013610999999999999,0.00076502,0.0
34,35,0.07898,-0.058365,0.0,0.0013507999999999999,0.00075082,0.0
35,36,0.11847,-0.087548,0.0,0.0013379000000000002,0.0007367000000000001,0.0
36,37,0.15796,-0.11673,0.0,0.0013224999999999999,0.0007271,0.0
37,38,0.19745,-0.14590999999999998,0.0,0.0013097000000000002,0.0007276,0.0
38,39,0.23694,-0.1751,0.0,0.0013089,0.00073753,0.0
39,40,0.27669,-0.20447,0.0,0.0013294000000000001,0.00074214,0.0
40,41,0.32083,-0.23709000000000002,0.0,0.0013723,0.00071315,0.0
41,42,0.37351999999999996,-0.27602,0.0,0.0014652,0.00058217,0.0
42,43,0.428,-0.31629,0.0,0.0015352,0.00013039,0.0
43,44,0.47815,-0.35335,0.0,0.0013089,-0.00050732,0.0
44,45,0.52193,-0.3857,0.0,0.00093551,-0.0010018,0.0
45,46,0.56166,-0.41506000000000004,0.0,0.00060171,-0.0013622,0.0
46,47,0.60115,-0.44423999999999997,0.0,0.00031367,-0.0016890999999999998,0.0
47,48,0.64064,-0.47343,0.0,5.2758999999999994e-05,-0.0020158000000000003,0.0
48,49,0.68013,-0.50261,0.0,-0.00019873,-0.0023525,0.0
49,50,0.7196199999999999,-0.53179,0.0,-0.00045155,-0.0026956,0.0
50,51,0.7591100000000001,-0.56097,0.0,-0.00070579,-0.0030399999999999997,0.0
51,52,0.34418000000000004,-0.44188999999999995,0.0,0.0012974,0.00076909,0.0
52,53,0.14537,-0.32900999999999997,0.0,0.0012675,0.00073779,0.0
53,54,0.17187,-0.40621999999999997,0.0,0.0012974,0.00076909,0.0
54,55,0.15983,-0.36515,0.0,0.0012974,0.00076909,0.0
55,56,0.19805999999999999,-0.44625,0.0,-0.00097677,0.00021609,0.0
56,57,0.1941,-0.33555999999999997,0.0,0.0012974,0.00076909,0.0
57,58,0.15077000000000002,-0.4568,0.0,0.0012974,0.00076909,0.0
58,59,0.12168,-0.27448,0.0,0.0012642,0.00070912,0.0
59,60,0.17123,-0.58008,0.0,-0.00097677,0.00021609,0.0
60,61,0.22754000000000002,-0.59212,0.0,-0.00097677,0.00021609,0.0
61,62,0.45723,-0.54692,0.0,-0.00069153,-0.00040998,0.0
62,63,0.49591,-0.55829,0.0,-0.00072912,-0.00072354,0.0
63,64,0.5333899999999999,-0.52846,0.0,-0.00045654,-0.0010711,0.0
64,65,0.58573,-0.54043,0.0,-0.00053692,-0.0015272999999999999,0.0
65,66,0.48572,-0.49977,0.0,-0.00024817,-0.00068093,0.0
66,67,0.36239,-0.40052,0.0,0.0012974,0.00076909,0.0
67,68,0.26261,-0.33643,0.0,0.0012974,0.00076909,0.0
68,69,0.30086999999999997,-0.38278,0.0,0.0012974,0.00076909,0.0
69,70,0.18415,-0.26084,0.0,0.0012885,0.00074462,0.0
70,71,0.22286999999999998,-0.29618,0.0,0.0012974,0.00076909,0.0
71,72,0.093056,-0.2105,0.0,0.0012985,0.00073256,0.0
72,73,0.1412,-0.23194,0.0,0.0012874,0.00072429,0.0
73,74,0.070251,-0.31115,0.0,0.001225,0.00070125,0.0
74,75,0.07849099999999999,-0.26077,0.0,0.0012748,0.00072201,0.0
75,76,0.067017,-0.40975,0.0,0.0008566000000000001,0.00066741,0.0
76,77,0.06669800000000001,-0.36049000000000003,0.0,0.0011085000000000001,0.00067867,0.0
77,78,0.26482,-0.52287,0.0,-0.00097677,0.00021609,0.0
78,79,0.27595,-0.5754100000000001,0.0,-0.00097677,0.00021609,0.0
79,80,0.059934,-0.4551,0.0,0.00032903,0.0006718,0.0
80,81,0.62489,-0.54833,0.0,-0.00059779,-0.0018698,0.0
81,82,0.10142999999999999,-0.50054,0.0,-0.00084687,0.00035768,0.0
82,83,0.054351,-0.50125,0.0,-0.00025616,0.00049433,0.0
83,84,0.095924,-0.54492,0.0,-0.00086177,0.00014521,0.0
84,85,0.089477,-0.59035,0.0,-0.00076008,-9.662e-05,0.0
85,86,0.087015,-0.6349600000000001,0.0,-0.00046429,-0.00039858,0.0
86,87,0.041318,-0.6412800000000001,0.0,-0.00036289,-0.00034849,0.0
87,88,0.33394,-0.55933,0.0,-0.00097677,0.00021609,0.0
88,89,-0.0044884999999999994,-0.64663,0.0,-0.00028563,-0.0001833,0.0
89,90,-0.0010592000000000002,-0.5987100000000001,0.0,-0.00037529,2.007e-05,0.0
90,91,0.0030744,-0.55061,0.0,-0.00038561,0.00027885,0.0
91,92,0.007567399999999999,-0.5022399999999999,0.0,-0.00015394,0.0005440999999999999,0.0
92,93,0.012354,-0.45415,0.0,0.00031356,0.00072546,0.0
93,94,0.016397,-0.40448,0.0,0.00078932,0.00078531,0.0
94,95,0.019862,-0.35466,0.0,0.0010892,0.00078423,0.0
95,96,0.024393,-0.30275,0.0,0.0012321,0.00077448,0.0
96,97,0.031152,-0.25082,0.0,0.0012868,0.00076726,0.0
97,98,0.041756,-0.19776,0.0,0.0013094,0.00076137,0.0
98,99,0.023573,-0.053119000000000006,0.0,0.0013529000000000002,0.00077053,0.0
99,100,0.041760000000000005,-0.092295,0.0,0.0013395,0.00076406,0.0
100,101,0.062527,-0.1385,0.0,0.0013245999999999998,0.00075452,0.0
101,102,0.11639000000000001,-0.16366,0.0,0.0013116,0.00073338,0.0
102,103,0.16604000000000002,-0.18889,0.0,0.0013031,0.00072737,0.0
103,104,0.20995999999999998,-0.21930999999999998,0.0,0.0013067999999999999,0.00073895,0.0
104,105,0.25242,-0.25359,0.0,0.0013212999999999999,0.00075436,0.0
105,106,0.29491999999999996,-0.29100000000000004,0.0,0.0012974,0.00076909,0.0
106,107,0.33926,-0.32498,0.0,0.0012974,0.00076909,0.0
107,108,0.38926,-0.3582,0.0,0.001312,0.0004538,0.0
108,109,0.43846,-0.3937,0.0,0.00095879,-0.00012392,0.0
109,110,0.48112,-0.42741,0.0,0.00052222,-0.00062161,0.0
110,111,0.52371,-0.45733,0.0,0.00019107,-0.0010178,0.0
111,112,0.56455,-0.48189,0.0,-2.721e-05,-0.0013675,0.0
112,113,0.6061300000000001,-0.50303,0.0,-0.00020696,-0.0017176,0.0
113,114,0.64793,-0.5251100000000001,0.0,-0.00039436,-0.0020736,0.0
114,115,0.6829999999999999,-0.56458,0.0,-0.00073702,-0.0023765,0.0
115,116,0.63842,-0.58006,0.0,-0.00087199,-0.0019854,0.0
116,117,0.59003,-0.5836,0.0,-0.00090388,-0.0015538,0.0
117,118,0.54593,-0.58773,0.0,-0.00093914,-0.0011542,0.0
118,119,0.49962,-0.59722,0.0,-0.001015,-0.0007352,0.0
119,120,0.44716000000000006,-0.60102,0.0,-0.0010288,-0.00030117,0.0
