,node_number,named_selection,x_loc,y_loc,z_loc,x_disp,y_disp,z_disp,x_force,y_force,z_force
0,1,7,-0.1082,1.0785,0.0,0.0,0.0,0.0,-13.89134503668,-91.7759029268272,0.0
1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
2,3,-1,-0.10332000000000001,1.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,-1,-0.098444,0.9812700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,-1,-0.093567,0.93265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,-1,-0.08868999999999999,0.8840399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,-1,-0.083813,0.8354299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,-1,-0.078936,0.78681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,-1,-0.073956,0.7371800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,-1,-0.068459,0.68238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,-1,-0.061925,0.61725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,-1,-0.054074000000000004,0.53899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,-1,-0.046232999999999996,0.46083999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,-1,-0.039712,0.39584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,-1,-0.034214,0.34103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,11,-0.029235,0.2914,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
16,17,11,-0.024358,0.24279,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
17,18,11,-0.01948,0.19418,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
18,19,10,-0.014603,0.14556,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
19,20,10,-0.0097264,0.09695,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
20,21,10,-0.0048493,0.048337,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
21,22,1,1.0611,0.58917,0.0,-0.000390355925222628,-0.000132922179224993,0.0,0.0,0.0,0.0
22,23,10,0.043571,0.024193,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
23,24,-1,0.087142,0.048386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,-1,0.13071,0.07257999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,-1,0.17428,0.096773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,-1,0.21786,0.12097000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,-1,0.26147,0.14518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,-1,0.30599,0.1699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,-1,0.35628000000000004,0.19783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,-1,0.41808,0.23214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,-1,0.49346,0.27399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,-1,0.57226,0.31775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,-1,0.64495,0.35811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,35,-1,0.7055100000000001,0.39174000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,-1,0.75517,0.41931999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,-1,0.7996,0.44398000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,5,0.8431700000000001,0.46818000000000004,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
38,39,3,0.88674,0.49237,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
39,40,3,0.9303100000000001,0.51656,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
40,41,1,0.97388,0.54076,0.0,-0.000390355925222628,-0.000132922179224993,0.0,0.0,0.0,0.0
41,42,1,1.0175,0.56495,0.0,-0.000390355925222628,-0.000132922179224993,0.0,0.0,0.0,0.0
42,43,1,1.0159,0.6080800000000001,0.0,-0.000390355925222628,-0.000132922179224993,0.0,0.0,0.0,0.0
43,44,1,0.9706899999999999,0.627,0.0,-0.000390355925222628,-0.000132922179224993,0.0,0.0,0.0,0.0
44,45,2,0.9255,0.64591,0.0,-0.00017019604086511398,-0.000183794744572976,0.0,0.0,0.0,0.0
45,46,3,0.88031,0.66482,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
46,47,4,0.8351200000000001,0.6837300000000001,0.0,-0.0017789170560006601,-0.000746638141544109,0.0,0.0,0.0,0.0
47,48,5,0.78992,0.7026399999999999,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
48,49,5,0.74363,0.72202,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
49,50,5,0.693,0.74321,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
50,51,-1,0.63238,0.76858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,52,-1,0.55942,0.79911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,53,-1,0.47626,0.83391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,-1,0.39316999999999996,0.8686799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,55,-1,0.32022,0.8992100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,56,-1,0.25968,0.9245399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57,9,0.20918,0.9456700000000001,0.0,0.0,0.0,0.0,-4.455048206765951,10.8630840798124,0.0
57,58,8,0.16288,0.96505,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
58,59,8,0.11769,0.9839600000000001,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
59,60,8,0.072498,1.0029,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
60,61,8,0.027306,1.0218,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
61,62,8,-0.017886000000000003,1.0407,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
62,63,7,-0.063078,1.0596,0.0,0.0,0.0,0.0,-13.89134503668,-91.7759029268272,0.0
63,64,5,0.8285299999999999,0.55985,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
64,65,5,0.81143,0.58194,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
65,66,6,0.72772,0.57991,0.0,-2.0102613927048398e-05,0.00011016047157090601,0.0,0.0,0.0,0.0
66,67,12,0.31235,0.47446000000000005,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
67,68,-1,0.16374,0.26269000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,69,11,0.11189,0.26225,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
69,70,-1,0.13582,0.30029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,71,-1,0.15899000000000002,0.35331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,72,-1,0.14615,0.6510699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,73,-1,0.079051,0.75495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,74,-1,0.67097,0.5707800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,75,-1,0.61025,0.56724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,76,12,0.34495,0.43063999999999997,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
76,77,12,0.28774,0.38816,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
77,78,-1,0.19922,0.31013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,79,-1,0.13354000000000002,0.7833899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,80,-1,0.5413100000000001,0.56298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,81,-1,0.22651999999999997,0.25649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,82,12,0.32313000000000003,0.33158000000000004,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
82,83,12,0.27082,0.29070999999999997,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
83,84,-1,0.434,0.41985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,85,12,0.37763,0.37151999999999996,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
85,86,-1,0.55603,0.49022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,87,-1,0.68212,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,88,-1,0.62184,0.50259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,89,-1,0.7365,0.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,90,-1,0.16799,0.59027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,91,5,0.83226,0.606,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
91,92,5,0.7863899999999999,0.5423600000000001,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
92,93,5,0.73265,0.62215,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
93,94,5,0.78676,0.61731,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
94,95,-1,0.61702,0.63036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,96,-1,0.67708,0.62527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,97,-1,0.478,0.65184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,98,-1,0.55224,0.63689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,99,-1,0.32976,0.70835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,100,-1,0.40379,0.67629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,101,-1,0.21665,0.7898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,102,9,0.12345999999999999,0.8629399999999999,0.0,0.0,0.0,0.0,-4.455048206765951,10.8630840798124,0.0
102,103,9,0.16893,0.82939,0.0,0.0,0.0,0.0,-4.455048206765951,10.8630840798124,0.0
103,104,8,0.040383999999999996,0.9159,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
104,105,9,0.079593,0.8908,0.0,0.0,0.0,0.0,-4.455048206765951,10.8630840798124,0.0
105,106,-1,0.015903999999999998,0.79099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,-1,0.0041061000000000005,0.8334299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,108,-1,0.05607,0.68111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,109,-1,0.034196,0.7357199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,110,-1,0.09059600000000001,0.56162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,111,-1,0.075865,0.6239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,112,-1,0.10737999999999999,0.42896999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,113,-1,0.1021,0.49256000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,114,11,0.086167,0.31168,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
114,115,11,0.077486,0.21089000000000002,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
115,116,-1,0.16514,0.5099199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,117,11,0.087783,0.16385999999999998,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
117,118,3,0.8680899999999999,0.58302,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
118,119,12,0.25781,0.4591,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
119,120,10,0.040052,0.11195,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
120,121,10,0.036265,0.15389,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
121,122,11,0.029907,0.20285999999999998,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
122,123,11,0.027410000000000004,0.25358,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
123,124,11,0.029162,0.30687,0.0,0.0,0.0,0.0,-130.577710423106,-93.30630297461839,0.0
124,125,-1,0.032812,0.36136999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,126,-1,0.032958999999999995,0.41703999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,127,-1,0.026813999999999998,0.48016000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,128,-1,0.016826,0.54628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,129,-1,0.0060551,0.61101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,130,-1,-0.0054913,0.6731600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,131,-1,-0.017725,0.7300800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,132,-1,-0.030335,0.78375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,133,-1,-0.039663,0.83581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,134,-1,-0.044566,0.8852700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,135,-1,-0.046687,0.9359799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,136,7,-0.071088,1.0294,0.0,0.0,0.0,0.0,-13.89134503668,-91.7759029268272,0.0
136,137,-1,-0.043316,0.99021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,138,8,0.008518099999999999,0.97572,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
138,139,8,0.056462,0.95816,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
139,140,8,0.10131,0.9359999999999999,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
140,141,8,0.14625,0.9112299999999999,0.0,0.0,0.0,0.0,-71.6504079614872,-56.530043111978905,0.0
141,142,9,0.19524,0.8827799999999999,0.0,0.0,0.0,0.0,-4.455048206765951,10.8630840798124,0.0
142,143,-1,0.24706,0.8521299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,144,-1,0.30480999999999997,0.81958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,145,-1,0.36918,0.7874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,146,-1,0.51647,0.73138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,147,-1,0.5813,0.70791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,148,-1,0.64418,0.6904100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,149,5,0.70196,0.6761699999999999,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
149,150,5,0.75584,0.66382,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
150,151,5,0.8071699999999999,0.65083,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
151,152,3,0.8571200000000001,0.63388,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
152,153,3,0.9012700000000001,0.61095,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
153,154,2,0.9414100000000001,0.58054,0.0,-0.00017019604086511398,-0.000183794744572976,0.0,0.0,0.0,0.0
154,155,3,0.9006200000000001,0.55123,0.0,0.00273081399618371,-0.000843614876735083,0.0,0.0,0.0,0.0
155,156,5,0.8577299999999999,0.52646,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
156,157,5,0.81179,0.50447,0.0,-0.00125343288921512,0.00038346318175882903,0.0,0.0,0.0,0.0
157,158,-1,0.76259,0.48491000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,159,-1,0.7102,0.46492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,160,-1,0.65365,0.44308000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,161,-1,0.59318,0.41708999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,162,-1,0.46811,0.34631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,163,-1,0.40606,0.30617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,164,12,0.34770999999999996,0.26938,0.0,0.0,0.0,0.0,-22.7235790358204,-174.728881085352,0.0
164,165,-1,0.29504,0.23545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,166,-1,0.24645,0.20240999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,167,-1,0.19966,0.16881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,168,-1,0.15428,0.13777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,169,10,0.075563,0.075269,0.0,0.0,0.0,0.0,-22.4108447074477,-84.53452706174609,0.0
